model_code,trigger,selection_status,holdout_status,horizon_trading_days,rule_names,rule_labels,train_sample_count,train_win_rate,validation_base_count,validation_base_win_rate,validation_filtered_count,validation_filtered_win_rate,validation_win_rate_delta,validation_filtered_mean_return,holdout_base_count,holdout_base_win_rate,holdout_filtered_count,holdout_filtered_win_rate,holdout_win_rate_delta,holdout_filtered_mean_return,holdout_filtered_ci_low,holdout_filtered_ci_high
S0011,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,30.0,stock20_pullback_10+market20_neg,个股近160根收益≤-10%；上证近20日收益≤0,64.0,0.96875,1326.0,0.595023,166.0,0.861446,0.266423,0.153086,728.0,0.321429,147.0,0.428571,0.107142,-0.021264,0.351396,0.509385
S0011,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,same_code_models_ge_4+price_le_20,同股同揭示bar模型共识≥4；入场原始价≤20元,180.0,0.983333,2237.0,0.696468,872.0,0.737385,0.040917,0.164527,618.0,0.288026,204.0,0.254902,-0.033124,-0.10761,0.200011,0.318853
S0012,ENGULFING,FILTER_SELECTED,MIXED_POSITIVE,30.0,vol20_le_4pct+market20_neg,近160根日化波动率≤4%；上证近20日收益≤0,108.0,0.962963,314.0,0.659236,113.0,0.831858,0.172622,0.111002,143.0,0.265734,54.0,0.333333,0.067599,0.004873,0.222414,0.46639
S0012,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,30.0,concurrent_ge_2+market20_neg,同K线触发条件数≥2；上证近20日收益≤0,174.0,0.87931,652.0,0.584356,233.0,0.669528,0.085172,0.072991,350.0,0.308571,117.0,0.376068,0.067497,-0.018285,0.293552,0.466464
S0013,ENGULFING,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,
S0013,STRONG_FRACTAL,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,
S0014,ENGULFING,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,
S0014,STRONG_FRACTAL,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,
S0015,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,60.0,price_le_20+stock20_pos,入场原始价≤20元；个股近160根收益>0,62.0,0.983871,607.0,0.579901,252.0,0.615079,0.035178,0.075472,195.0,0.348718,64.0,0.3125,-0.036218,-0.026749,0.212311,0.433923
S0015,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,entry_vs_prior_close_le_3pct+price_1_6,入场价相对昨收涨幅≤3%；入场原始价1～6元,223.0,0.991031,5767.0,0.690307,466.0,0.76824,0.077933,0.14835,1732.0,0.28291,112.0,0.142857,-0.140053,-0.148899,0.089887,0.219514
S0016,ENGULFING,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,,,,,,,,,,,,,,,,,,
S0016,STRONG_FRACTAL,FILTER_SELECTED,MIXED_POSITIVE,60.0,market_below_ma200,上证位于MA200下方,61.0,0.967213,1931.0,0.631797,167.0,0.964072,0.332275,0.277441,716.0,0.374302,94.0,0.457447,0.083145,0.183034,0.36039,0.557846
S0017,ENGULFING,FILTER_SELECTED,NOT_CONFIRMED,90.0,price_2_8+market20_neg,入场原始价2～8元；上证近20日收益≤0,188.0,1.0,5332.0,0.704239,379.0,0.802111,0.097872,0.186444,1548.0,0.273902,82.0,0.085366,-0.188536,-0.21502,0.041967,0.165875
S0017,STRONG_FRACTAL,FILTER_SELECTED,NOT_CONFIRMED,90.0,price_1_6,入场原始价1～6元,361.0,0.99169,14509.0,0.707492,1426.0,0.770687,0.063195,0.14833,4716.0,0.284563,376.0,0.148936,-0.135627,-0.145203,0.116507,0.188466
